Model,PDB Mean F1,PDB Median F1,PDB Mean Crossed-pair F1,PDB Median Crossed-pair F1,CASP Mean F1,CASP Median F1,CASP Mean Crossed-pair F1,CASP Median Crossed-pair F1,PDB+CASP Mean F1,PDB+CASP Median F1,PDB+CASP Mean Crossed-pair F1,PDB+CASP Median Crossed-pair F1
RibonanzaNet,0.9024750339990566,0.949671772428884,0.4515173992410785,0.1048122011693987,0.9447031536248064,0.9627450980392157,0.9217818139844881,0.9600000000000001,0.910270994545349,0.9500000000000001,0.6161099444012719,0.9333333333333333
RibonanzaNet no pretraining,0.7196229527367647,0.7741935483870968,0.08368496308814344,0.0,0.5039021183131739,0.4938753533449993,0.2528668931988912,0.15552569701041316,0.6797975679201018,0.7303703703703704,0.14007893979172603,0.0
Vienna2,0.8562303303872714,0.9473684210526316,0.0,0.0,0.725913855410815,0.8418268247802085,0.0,0.0,0.8321719042377719,0.9285714285714286,0.0,0.0
CONTRAfold2,0.8416375390425144,0.9236111111111112,0.0,0.0,0.8361686638737534,0.9127615679339818,0.0,0.0,0.8406279005498202,0.9195402298850576,0.0,0.0
EternaFold,0.8413168189539887,0.9310344827586208,0.0,0.0,0.8183748017746025,0.8941679235796882,0.0,0.0,0.8370813696285638,0.9193548387096775,0.0,0.0
IPknot,0.8256408879189016,0.888888888888889,0.04412951237039193,0.0,0.8244824026273943,0.9032110253427796,0.1500689655172414,0.0,0.8254270137112387,0.888888888888889,0.07830352951453692,0.0
Knotty,0.8385798906359792,0.9411764705882353,0.20806981531619212,0.0,0.6900575068618885,0.8919572953736654,0.2843343343343343,0.0,0.8111603736315318,0.9299999999999999,0.23712296541834157,0.0
Vienna2 (TK),0.8692433452253477,0.9285714285714286,0.0,0.0,0.7878638707243426,0.8559765276183187,0.0,0.0,0.8542194422405469,0.912280701754386,0.0,0.0
Vienna2 (HK),0.873382917604558,0.9285714285714286,0.0,0.0,0.7971151363540327,0.8567521979145368,0.0,0.0,0.8593027118352303,0.912280701754386,0.0,0.0
EternaFold ThreshKnot,0.839225897032973,0.9259259259259259,0.0,0.0,0.8343792509924773,0.914441280591042,0.0,0.0,0.8383311316101124,0.9213483146067416,0.0,0.0
EternaFold (HK),0.826531278672025,0.9090909090909091,0.0,0.0,0.8138756938028995,0.8697916666666667,0.0,0.0,0.8241948630038788,0.90625,0.0,0.0
CONTRAfold2 ThreshKnot,0.8423237876320505,0.8936170212765957,0.001949317738791423,0.0,0.8158147628903175,0.8626984126984126,0.0,0.0,0.8374298138335768,0.8936170212765957,0.0012311480455524776,0.0
CONTRAfold2 (HK),0.8081014849984614,0.8846153846153846,0.0,0.0,0.785516838117017,0.8366240805265195,0.0,0.0,0.8039320117280409,0.8846153846153846,0.0,0.0
Shapify-Hfold,0.8760982233661826,0.9473684210526316,0.2406924243181553,0.0,0.8526884159225218,0.8919572953736654,0.37479557479557485,0.0,0.8717764127611994,0.9333333333333333,0.2900988481782572,0.0
SPOT-RNA,0.873919462023505,0.888888888888889,0.37817285461716305,0.17105263157894737,0.7809693965388705,0.8049586776859504,0.6483970311387692,0.7333333333333334,0.8567594499340344,0.8571428571428572,0.47772913017775476,0.4093023255813954
